min_start,min_start_real,t_mean,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
10,9,25.09,8/17/2021 11:31,0.04,7.052901,0.28211604,8.044913575,9.721861114,2504,25,82.75075606,6.144618922,1.676947539,27.2913188,1.208448173,3.577242192,4.467671383,1.496867329,4.860930557,3.501130793,-0.012281,3.134773742,0.287355249,2.522751069,-0.07443
20,19,24.97,8/17/2021 11:41,0.04,5.4675785,0.21870314,6.23661051,9.721861114,2504,25,64.15037653,6.144618922,3.485250604,56.72037027,1.558837304,3.577242192,2.659368318,0.97808862,4.860930557,3.501130793,-0.012281,2.772493234,,2.522751069,-0.07443
30,29,24.91,8/17/2021 11:51,0.04,5.0577395,0.20230958,5.769126373,9.721861114,2504,25,59.34178966,6.144618922,3.952734741,64.32839516,1.685153087,3.577242192,2.191884181,0.784761531,4.860930557,3.501130793,-0.012281,2.452080873,,2.522751069,-0.07443
40,39,25.07,8/17/2021 12:01,0.04,5.01237175,0.20049487,5.717377507,9.721861114,2504,25,58.80949584,6.144618922,4.004483607,65.17057702,1.700405667,3.577242192,2.140135315,0.760869058,4.860930557,3.501130793,-0.012281,2.168698027,,2.522751069,-0.07443
50,49,25.25,8/17/2021 12:11,0.04,4.8936,0.195744,5.581900139,9.721861114,2504,25,57.41596258,6.144618922,4.139960975,67.3753902,1.74167593,3.577242192,2.004657947,0.695473446,4.860930557,3.501130793,-0.012281,1.918065258,,2.522751069,-0.07443
0,0,25.06,8/17/2021 11:11,0.0171,10.34825187,0.176955107,9.217206874,9.217206874,2506,25,100,5.229334706,0,0,1,3.987872168,5.229334706,1.654284063,4.608603437,3.501130793,-0.012281,3.501130793,0.547082669,2.522751069,-0.07443
10,9,25.11517771,8/17/2021 11:20,0.0171,9.277701579,0.158648697,8.341729594,9.217206874,2506,25,90.50170738,5.229334706,0.87547728,16.741657,1.10495153,3.987872168,4.353857426,1.471062217,4.608603437,3.501130793,-0.012281,3.134773742,0.198099498,2.522751069,-0.07443
20,20,25.09,8/17/2021 11:31,0.0171,7.119760877,0.121747911,6.401490661,9.217206874,2506,25,69.45152418,5.229334706,2.815716213,53.84463553,1.43985321,3.987872168,2.413618493,0.881127071,4.608603437,3.501130793,-0.012281,2.73865247,,2.522751069,-0.07443
30,30,24.97,8/17/2021 11:41,0.0171,6.515922398,0.111422273,5.858569845,9.217206874,2506,25,63.56122766,5.229334706,3.358637029,64.22685136,1.573286163,3.987872168,1.870697677,0.626311451,4.608603437,3.501130793,-0.012281,2.422151028,,2.522751069,-0.07443
40,40,24.91,8/17/2021 11:51,0.0171,6.754089766,0.115494935,6.072709928,9.217206874,2506,25,65.88449203,5.229334706,3.144496946,60.1318738,1.517807862,3.987872168,2.08483776,0.734691039,4.608603437,3.501130793,-0.012281,2.142227124,,2.522751069,-0.07443
