min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
4.5,28,19,7/26/2022 9:50,0.0442,4.728433665,0.208996768,A09,5.546414642,11.9263177,0.465056758,9.552969564,4.894289216,6.379903059,66.78450105,2.150275172,2.436782375,1.134504477,3.175950635,-0.011845,2.27947921,-0.186145189,4.569482683,-0.12934
13.5,37,19,7/26/2022 9:59,0.0442,4.461491086,0.197197906,A09,5.233293145,11.9263177,0.438802091,9.552969564,4.894289216,6.693024556,70.06224098,2.278931711,2.436782375,1.028372487,3.175950635,-0.011845,2.048979778,-0.290979514,4.569482683,-0.12934
22.5,47,19,7/26/2022 10:09,0.0442,4.577673348,0.202333162,A09,5.369574004,11.9263177,0.450228993,9.552969564,4.894289216,6.556743697,68.63565987,2.22109197,2.436782375,1.075954744,3.175950635,-0.011845,1.820101011,0.106781063,4.569482683,-0.12934
31.5,57,19,7/26/2022 10:19,0.0442,5.502982081,0.243231808,A09,6.454953702,11.9263177,0.541236102,9.552969564,4.894289216,5.471363999,57.27396034,1.847622501,2.436782375,1.390826905,3.175950635,-0.011845,1.616788865,0.876044597,4.569482683,-0.12934
3.74,0,19,7/26/2022 9:24,0.0239,13.39592264,0.320162551,A10,13.24011273,13.24011273,1,9.446313969,4.137783946,0,0,1,3.199807651,2.3066075,3.175950635,-0.011845,3.175950635,1.926341999,4.569482683,-0.12934
10,6,19,7/26/2022 9:30,0.0239,7.22435,0.172661965,A10,7.133899519,13.24011273,0.538809576,9.446313969,4.137783946,6.106213208,64.64122649,1.85594326,3.199807651,1.369680072,3.175950635,-0.011845,2.958069916,-0.0242702,4.569482683,-0.12934
19,15,19,7/26/2022 9:39,0.0239,5.21293205,0.124589076,A10,5.147664973,13.24011273,0.388793138,9.446313969,4.137783946,8.092447754,85.66778302,2.572061857,3.199807651,0.666729959,3.175950635,-0.011845,2.65895184,,4.569482683,-0.12934
4.5,26,19,7/26/2022 9:50,0.0239,5.341614435,0.127664585,A10,5.274736226,13.24011273,0.398390583,9.446313969,4.137783946,7.965376502,84.32258898,2.510099494,3.199807651,0.729926731,3.175950635,-0.011845,2.334124794,,4.569482683,-0.12934
13.5,35,19,7/26/2022 9:59,0.0239,4.976294644,0.118933442,A10,4.91399032,13.24011273,0.371144145,9.446313969,4.137783946,8.326122407,88.14149555,2.694370943,3.199807651,0.538936389,3.175950635,-0.011845,2.098099637,,4.569482683,-0.12934
22.5,45,19,7/26/2022 10:09,0.0239,5.048840418,0.120667286,A10,4.985627805,13.24011273,0.376554785,9.446313969,4.137783946,8.254484922,87.38313113,2.655656067,3.199807651,0.57987778,3.175950635,-0.011845,1.863733996,,4.569482683,-0.12934
31.5,55,19,7/26/2022 10:19,0.0239,8.526719372,0.203788593,A10,8.419962935,13.24011273,0.635943448,9.446313969,4.137783946,4.820149792,51.02677941,1.572466866,3.199807651,1.652527149,3.175950635,-0.011845,1.655547881,1.271053922,4.569482683,-0.12934
0.54,0,26,7/27/2022 10:28,0.0199,15.9619203,0.317642214,H01,15.04258713,15.04258713,1,9.101875847,2.532118869,0,0,1,5.940711281,2.20848053,3.175950635,-0.011845,3.175950635,1.779336829,4.569482683,-0.12934
8,8,26,7/27/2022 10:36,0.0199,12.53364784,0.249419592,H01,11.75799164,15.04258713,0.781646903,9.101875847,2.532118869,3.284595489,36.08701705,1.279350045,5.940711281,1.76083286,3.175950635,-0.011845,2.888816782,1.074477909,4.569482683,-0.12934
16,16,26,7/27/2022 10:44,0.0199,9.99514809,0.198903447,H01,9.376589257,15.04258713,0.623336211,9.101875847,2.532118869,5.665997871,62.25088066,1.60427067,5.940711281,1.23427249,3.175950635,-0.011845,2.627642352,-0.212901649,4.569482683,-0.12934
4.5,24.5,26,7/27/2022 10:52,0.0199,8.50527196,0.169254912,H01,7.978915466,15.04258713,0.530421755,9.101875847,2.532118869,7.063671662,77.60676789,1.885292205,5.940711281,0.712069119,3.175950635,-0.011845,2.375966971,,4.569482683,-0.12934
12.5,32.5,26,7/27/2022 11:00,0.0199,9.777117437,0.194564637,H01,9.172051629,15.04258713,0.609738973,9.101875847,2.532118869,5.870535499,64.49808367,1.640046059,5.940711281,1.17289702,3.175950635,-0.011845,2.161158672,0.067828425,4.569482683,-0.12934
20.5,40.5,26,7/27/2022 11:08,0.0199,9.489524623,0.18884154,H01,8.902256758,15.04258713,0.59180357,9.101875847,2.532118869,6.14033037,67.46225144,1.689749862,5.940711281,1.085711253,3.175950635,-0.011845,1.965770932,-0.004234407,4.569482683,-0.12934
4.5,50.5,26,7/27/2022 11:16,0.0199,9.634878392,0.19173408,H01,9.038615176,15.04258713,0.600868394,9.101875847,2.532118869,6.003971951,65.96411611,1.664257946,5.940711281,1.13072572,3.175950635,-0.011845,1.746186907,0.301375628,4.569482683,-0.12934
