min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B_20,B_30,Bebt_20,ln_mo2_minus_Bebt_20,Bebt_30,ln_mo2_minus_Bebt_30,A_20,A_30,beta_20,beta_30,alpha_20,alpha_30,aas_80_mo2,aas_80_time,fas_3_mo2,time_fas_3,time_round
14.5,26.5,16,8/9/2022 10:41,0.0181,3.944962541,0.071403822,A11,3.603874695,10.09122864,35.71294263,8.014106861,4.858274918,6.487353945,80.94918196,2.800105302,2.077121779,1.526752916,0.423143203,5.04561432,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.679943151,,3.36374288,,30
24.5,36.5,16,8/9/2022 10:51,0.0181,3.817594641,0.069098463,A11,3.487519229,10.09122864,34.55990696,8.014106861,4.858274918,6.603709411,82.40106509,2.893526308,2.077121779,1.41039745,0.343871544,5.04561432,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.679943151,,3.36374288,,40
34.5,46.5,16,8/9/2022 11:01,0.0181,3.854313315,0.069763071,A11,3.521063147,10.09122864,34.89231364,8.014106861,4.858274918,6.570165493,81.98250419,2.865960711,2.077121779,1.443941368,0.367376436,5.04561432,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.679943151,,3.36374288,,50
44.5,56.5,16,8/9/2022 11:11,0.0181,3.669572486,0.066419262,A11,3.35229531,10.09122864,33.21989254,8.014106861,4.858274918,6.73893333,84.08838872,3.010244536,2.077121779,1.275173531,0.243082272,5.04561432,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.679943151,,3.36374288,,60
54.5,66.5,16,8/9/2022 11:21,0.0181,3.971354088,0.071881509,A11,3.627984386,10.09122864,35.95185994,8.014106861,4.858274918,6.463244254,80.64834131,2.781497263,2.077121779,1.550862607,0.438811297,5.04561432,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.679943151,,3.36374288,,70
0.94,0,16,8/9/2022 10:16,0.0186,10.66060387,0.198287232,A12,9.871673191,9.871673191,100,8.17172423,5.807040927,0,0,1,1.699948961,8.17172423,2.100679931,4.935836596,2.279078056,1.792847253,2.279078056,1.773705162,1.792847253,1.85299206,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.334293807,25.7,3.29055773,26.7,0
8,8,16,8/9/2022 10:23,0.0186,6.565942581,0.122126532,A12,6.044181572,9.871673191,61.22752907,8.17172423,5.807040927,3.827491619,46.8382377,1.633252256,1.699948961,4.344232611,1.468849129,4.935836596,2.279078056,1.792847253,2.075983464,0.819008233,1.698043999,0.973120345,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.334293807,,3.29055773,,10
4.5,16.5,16,8/9/2022 10:31,0.0186,4.377894194,0.081428832,A12,4.030005911,9.871673191,40.8239397,8.17172423,5.807040927,5.84166728,71.48634873,2.449543105,1.699948961,2.33005695,0.845892709,4.935836596,2.279078056,1.792847253,,,1.602802244,-0.318478511,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.334293807,,3.29055773,,20
14.5,26.5,16,8/9/2022 10:41,0.0186,3.676629677,0.068385312,A12,3.384467207,9.871673191,34.28463586,8.17172423,5.807040927,6.487205984,79.38601208,2.91675841,1.699948961,1.684518246,0.521479616,4.935836596,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.334293807,,3.29055773,,30
24.5,36.5,16,8/9/2022 10:51,0.0186,3.428404301,0.06376832,A12,3.155966999,9.871673191,31.9699299,8.17172423,5.807040927,6.715706192,82.18224212,3.127939295,1.699948961,1.456018038,0.375705338,4.935836596,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.334293807,,3.29055773,,40
34.5,46.5,16,8/9/2022 11:01,0.0186,3.238061075,0.060227936,A12,2.98074935,9.871673191,30.194976,8.17172423,5.807040927,6.890923841,84.32643647,3.311809224,1.699948961,1.280800389,0.247485186,4.935836596,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.334293807,,3.29055773,,50
44.5,56.5,16,8/9/2022 11:11,0.0186,3.142332903,0.058447392,A12,2.892628194,9.871673191,29.30230912,8.17172423,5.807040927,6.979044997,85.4048032,3.41270033,1.699948961,1.192679233,0.176202233,4.935836596,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.334293807,,3.29055773,,60
54.5,66.5,16,8/9/2022 11:21,0.0186,3.763452903,0.070000224,A12,3.464391046,9.871673191,35.09426395,8.17172423,5.807040927,6.407282145,78.40795852,2.84946851,1.699948961,1.764442085,0.567834541,4.935836596,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.334293807,,3.29055773,,70
9,0,16,9/8/2022 10:56,0.0143,11.50880056,0.164575848,A01,9.952977712,9.952977712,100,8.002710877,5.103392794,0,0,1,1.950266835,8.002710877,2.079780344,4.976488856,2.279078056,1.792847253,2.279078056,1.744603712,1.792847253,1.826138935,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.55080901,26.4,3.317659237,32.8,0
4.5,8.5,16,8/9/2022 11:03,0.0143,6.131073007,0.087674344,A01,5.24333222,9.952977712,52.6810405,8.002710877,5.103392794,4.709645492,58.85062655,1.898216114,1.950266835,3.293065385,1.191818859,4.976488856,2.279078056,1.792847253,2.063908469,0.206328501,1.692288069,0.470489334,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.55080901,,3.317659237,,10
14.5,18.5,16,8/9/2022 11:13,0.0143,4.424455804,0.063269718,A01,3.783822448,9.952977712,38.01698906,8.002710877,5.103392794,6.169155264,77.08831868,2.630402945,1.950266835,1.833555613,0.60625704,4.976488856,2.279078056,1.792847253,,,1.581180152,-1.376837377,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.55080901,,3.317659237,,20
24.5,28.5,16,8/9/2022 11:23,0.0143,3.869587902,0.055335107,A01,3.309295926,9.952977712,33.2493051,8.002710877,5.103392794,6.643681786,83.01789091,3.007581653,1.950266835,1.359029091,0.306770541,4.976488856,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.55080901,,3.317659237,,30
34.5,38.5,16,8/9/2022 11:33,0.0143,3.749342378,0.053615596,A01,3.206461197,9.952977712,32.21609944,8.002710877,5.103392794,6.746516515,84.30288959,3.104038097,1.950266835,1.256194362,0.228086803,4.976488856,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.55080901,,3.317659237,,40
44.5,48.5,16,8/9/2022 11:43,0.0143,3.720367552,0.053201256,A01,3.181681744,9.952977712,31.96713422,8.002710877,5.103392794,6.771295968,84.61252783,3.128212849,1.950266835,1.231414909,0.208163841,4.976488856,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.55080901,,3.317659237,,50
8,0,16,9/8/2022 10:57,0.0146,8.086486301,0.1180627,A02,7.031163475,7.031163475,100,4.654133907,2.957962143,0,0,1,2.377029568,4.654133907,1.537755837,3.515581738,2.279078056,1.792847253,2.279078056,0.865020953,1.792847253,1.051271403,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.307856349,53.5,2.343721158,,0
4.5,8.5,16,8/9/2022 11:03,0.0146,6.466339178,0.094408552,A02,5.562295766,7.031163475,79.10917995,4.654133907,2.957962143,1.468867709,31.56049521,1.264075801,2.377029568,3.185266198,1.158535864,3.515581738,2.279078056,1.792847253,2.063908469,0.11454021,1.692288069,0.40077287,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.307856349,,2.343721158,,10
14.5,18.5,16,8/9/2022 11:13,0.0146,4.779220274,0.069776616,A02,4.11104892,7.031163475,58.46897081,4.654133907,2.957962143,2.920114555,62.74238372,1.71030888,2.377029568,1.734019352,0.550442039,3.515581738,2.279078056,1.792847253,,,1.581180152,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.307856349,,2.343721158,,20
24.5,28.5,16,8/9/2022 11:23,0.0146,4.517032877,0.06594868,A02,3.885517316,7.031163475,55.26137075,4.654133907,2.957962143,3.145646159,67.58821774,1.809582329,2.377029568,1.508487748,0.411107658,3.515581738,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.307856349,,2.343721158,,30
34.5,38.5,16,8/9/2022 11:33,0.0146,4.442936438,0.064866872,A02,3.821780123,7.031163475,54.35487507,4.654133907,2.957962143,3.209383352,68.95769258,1.83976138,2.377029568,1.444750555,0.36793668,3.515581738,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.307856349,,2.343721158,,40
