population,min_start,min_start_real,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,A,alpha
John Day,32,32,7/16/2021 10:45,0.0575,3.267977826,0.187908725,4.126319908,10.34449663,2202,22,39.88903525,7.357615337,3.463310259,6.218176724,84.51347943,2.506954589,2.986881295,0.130535696,3.120074875,-0.008048,7.57186951,-0.15927
John Day,42,42,7/16/2021 10:55,0.0575,2.925651478,0.16822496,3.694080737,10.34449663,2202,22,35.71058959,7.357615337,3.463310259,6.650415895,90.38819767,2.800289806,2.986881295,-0.346442557,3.120074875,-0.008048,7.57186951,-0.15927
John Day,0,0,7/16/2021 10:11,0.0549,12.13028142,0.66595245,14.88316456,14.88316456,2203,22,100,11.02254494,3.855123269,0,0,1,3.860619628,2.399942715,3.120074875,-0.008048,7.57186951,-0.15927
John Day,8,8,7/16/2021 10:18,0.0549,5.980468033,0.328327695,7.454048726,14.88316456,2203,22,50.08376205,11.02254494,3.855123269,7.429115839,67.3992792,1.996655121,3.860619628,1.279106927,3.120074875,-0.008048,7.57186951,-0.15927
John Day,16,16,7/16/2021 10:26,0.0549,4.485074918,0.246230613,5.590192405,14.88316456,2203,22,37.56050926,11.02254494,3.855123269,9.29297216,84.30877089,2.662370717,3.860619628,0.547874428,3.120074875,-0.008048,7.57186951,-0.15927
John Day,24,24,7/16/2021 10:45,0.0549,3.362241585,0.184587063,4.190694184,14.88316456,2203,22,28.15727909,11.02254494,3.855123269,10.69247038,97.00545962,3.551479518,3.860619628,-1.108436723,3.120074875,-0.008048,7.57186951,-0.15927
John Day,34,34,7/16/2021 10:55,0.0549,3.316960109,0.18210111,4.134255402,14.88316456,2203,22,27.77806685,11.02254494,3.855123269,10.74890916,97.51749003,3.599962536,3.860619628,-1.295957349,3.120074875,-0.008048,7.57186951,-0.15927
John Day,44,44,7/16/2021 11:05,0.0549,3.388379672,0.186022044,4.223272667,14.88316456,2203,22,28.37617395,11.02254494,3.855123269,10.6598919,96.70989736,3.524083272,3.860619628,-1.014308717,3.120074875,-0.008048,7.57186951,-0.15927
John Day,0,0,7/16/2021 10:11,0.0446,16.72267677,0.745831384,19.43875546,19.43875546,2204,22,100,15.13622704,4.517984201,0,0,1,4.302528428,2.717091012,3.120074875,-0.008048,7.57186951,-0.15927
John Day,8,8,7/16/2021 10:18,0.0446,8.917605381,0.3977252,10.48669913,19.43875546,2204,22,53.94737927,15.13622704,4.517984201,8.952056329,59.14324822,1.853658164,4.302528428,1.821992915,3.120074875,-0.008048,7.57186951,-0.15927
